"company","product_type","product_name","product_description","insurance_type"
"Generali","","AFFIN Secure Prime+","Get the combination of protection and savings now for your future with AFFIN Secure Prime+ and greater savings with Secure Income+ Rider.","Insurance"
"Generali","","eLife Protector+","Buy online in just 5 minutes
All causes of death & total permanent disability
2X due to accidental death
Up to RM500,000
Up to 75 years old","Insurance"
"Generali","","Secure Enhanced Plus","Two-in-one plan with wealth accumulation and life protection.
Coverage on accidental death/total permanent disability of up to 500% of the Basic Sum Insured.","Insurance"
"Generali","","AFFIN Flex Protector+","Provide the best of both wealth accumulation and protection at the same time.
Flexibility to tailor your own protection plan according to your budget and your changing needs.","Insurance"
"Generali","","AFFIN Maximiser","A single premium investment-linked insurance plan that focuses on legacy creation, estate equalisation and succession planning.","Insurance"
"Generali","","AFFIN EZ Protect","You will enjoy comprehensive protection coverage with guaranteed acceptance.
Death or Total Permanent Disability (TPD) of up to 400% of the Basic Sum Insured.
Income replacement up to RM100/day.","Insurance"
"Syarikat Takaful","","AFFIN Takaful myFlexi","A Takaful plan that is made for you comes with complete protection against death, total and permanent disability (TPD), 48 covered Critical Illnesses (CI), medical bills, and personal accidents with savings elements, all in one payment term.","Takaful"
"Syarikat Takaful","","AFFIN Takaful myWealth Invest","Single contribution Takaful plan for both investment and protection!​","Takaful"
"Generali","","iMed","Buy online in just 5 minutes
Annual limit up to RM180,000
Chiropractic & acupuncture treatment
Daily hospital allowance
Compassionate allowance","Insurance"
"Generali","","eMedic Plus","Buy online in just 5 minutes
Annual limit up to RM150,000
Auto-increase of annual limit
No claim rewards
Family plan available","Insurance"
"Generali","","eCritical Early Care","Buy online in just 5 minutes
50 critical illness conditions
Early stage & advanced stage
Up to RM250,000
Up to 80 years old","Insurance"
"Generali","","SmartCare Optimum Plus","Annual limit is reset every year.
Medical coverage up to RM2.1 million annual limit.
Outpatient kidney dialysis & cancer treatment.
 ","Insurance"
"Generali","","SmartCancer Cash","Receive a lump sum cash payout upon diagnosis of cancer, and 30% upfront payment from diagnosis of early stage cancer.","Insurance"
"Generali","","SmartPA Enhanced","Provide comprehensive 24 hours worldwide protection to the Insured for bodily injury caused by accidental. 

Get increasing coverage with Renewal Bonus feature and No Claims Discount benefit plus many other benefits for a comprehensive protection.
 ","Insurance"
"Syarikat Takaful","","Takaful myPA Care","From as little as RM0.20 a day, you will get comprehensive protection against personal accident.","Takaful"
"Generali","","Group Personal Accident (GPA)","Provide 24-hours-a-day and worldwide coverage for unforeseen accident.","Insurance"
"Syarikat Takaful","","Takaful myClick PA","Option to protect your spouse and children for just a few extra cents a day","Takaful"
"Generali","","SmartStudent Care","Provides 24 hours worldwide protection to the Insured for Injury caused directly by an Accident.","Insurance"
"Syarikat Takaful","","AFFIN Takaful myWealth Secure","Future planning with a versatile protection plan.

You do not have to worry about your medical conditions as this plan does not require any medical check-ups.","Takaful"
"Generali","","Home Protector Enhanced","Comprehensive coverage for your house and contents.
24/7 protection for your personal belongings, anywhere in the world. ","Insurance"
"Syarikat Takaful","","Takaful myFire","Cover against loss or damage to the property caused by fire, lightning and domestic explosion.","Takaful"
"Syarikat Takaful","","Takaful myHouseowners & Householders","The Houseowners plan covers your house structure whereas the Householders plan covers your house contents.","Takaful"
"Syarikat Takaful","","Takaful myHome Content","Cover your home contents for the loss or damage caused by fire, lightning, explosions, theft, hurricane, earthquake, flood and bursting of water tanks/pipes or by any perils.","Takaful"
"Generali","","Private Car","To cover your vehicle against your liabilities to third parties for injury or death, damage to third parties property, and accidental or fire damage to your vehicle or theft of your vehicle.","Insurance"
"Syarikat Takaful","","Takaful myMotor","Comprehensive cover for your vehicle against loss or damage as well as third party legal liabilities.","Takaful"
"Generali","","Guaranteed Auto Protection (GAP) Insurance","Pay the difference between your motor insurance payout and the vehicle’s original invoice price, if it’s stolen or totaled.","Insurance"
"Syarikat Takaful","","Takaful myClick Motor","Comprehensive cover to your vehicle against loss or damage as well as third party legal liabilities.","Takaful"
"Generali","","SmartTraveller Enhanced (Single Trip Plan)","Immediate activation, comprehensive coverage and 24-hour emergency assistance wherever you are in the world
Available in Standard, Senior or Family Plan","Insurance"
"Syarikat Takaful","","Takaful myClick Travel PA","Covers you and your family when travelling abroad","Takaful"
"Generali","","SmartTraveller Enhanced (Annual Plan)","Most convenient and cost effective way to enjoy comprehensive coverage and 24-hour emergency assistance for all your travels all year long.
Available in Standard, Senior or Family Plan.
 ","Insurance"
"Generali","","Jom Lokal Travel","For overland domestic travel in Malaysia.
Mainly provide coverage for Personal Accidents and Permanent Disablement, Medical Expenses due to Accidents, Repatriations of Mortal Remains, credit card/e-wallet protection and journey disruptions due to vehicle breakdown.
 ","Insurance"
"","Scraped at",":","2024-07-19 18:11 +08",""
