"product_type","product_name","product_description","insurance_type"
"Savings","EduSecure","Secure your child’s future with EduSecure","Life Insurance"
"Life","EzyProtect","EzyProtect is a simple way to keep those depending on you secure","Life Insurance"
"Life","Group Term Life (GTL)","Elevate the Well-Being of Your Employees with Group Term Life (GTL)","Life Insurance"
"H&P","LadyCare","Women’s unique needs protected with LadyCare","Life Insurance"
"Investment","M-Fortune Link","Protecting your loved ones by securing your tomorrows with M-Fortune Link","Life Insurance"
"Life","MyCritical Cover","Stay Protected with MyCritical Cover","Life Insurance"
"Savings","EzySaver","Grow your wealth with EzySaver today","Life Insurance"
"H&P","MaxHealth Plan","A Life-long Medical Coverage with MaxHealth Plan","Life Insurance"
"Life","MediGap Care","Complete Medical Coverage for Employees with MediGap Care","Life Insurance"
"Investment","PeopleLink","Ensuring a better future for the people you care about the most.","Life Insurance"
"Life","SuperSeries","Cover your crucial protection gaps with SuperSeries","Life Insurance"
"Savings","Growth Saver","Realise Your Dreams with Growth Saver","Life Insurance"
"H&P","MYEarly Critical Aid","Make MYEarly Critical Aid Your First Responder","Life Insurance"
"Investment","PrimeLink","Protect your loved ones with PrimeLink","Life Insurance"
"Life","SME Care+","Safeguard Your Employees with SME Care+","Life Insurance"
"Savings","MaxSaver","Empower your financial future with MaxSaver","Life Insurance"
"Investment","SecureInvest","Invest for a Brighter Future with SecureInvest","Life Insurance"
"Savings","Wealth Multiplier","Accelerate towards Your Financial Goals with Wealth Multiplier","Life Insurance"
"Life","MyHospital Benefit","Supplementing your daily expenses for a speedy recovery","Life Insurance"
"Life","MyLife Protect","Protect Your Future","Life Insurance"
"Scraped at",":","2024-08-16 08:35 +08",""
