"company","product_type","product_name","product_description","insurance_type"
"Syarikat Takaful","Life","M-Zahra Invest Prime Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Income Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Income Plus Takaful","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra Flexi Takaful","","Family Takaful"
"Syarikat Takaful","Life","Takaful myMediValue","","Family Takaful"
"Syarikat Takaful","Life","M-Zahra First Takaful","","Family Takaful"
"Syarikat Takaful","Home","M-Zahra Home Content Takaful","","General Takaful"
"Syarikat Takaful","Motor","M-Zahra Motor Takaful","","General Takaful"
"Syarikat Takaful","H&P","M-Zahra PA Care Takaful","","General Takaful"
"","Scraped at",":","2024-09-15 00:30 +08",""
